Date,Close_fund,Close_rfr
2014-09-18,396.0,2.44
2014-09-19,398.0,2.42
2014-09-22,394.29,2.4
2014-09-23,389.7,2.38
2014-09-24,386.0,2.36
2014-09-25,386.0,2.32
2014-09-26,384.0,2.3
2014-09-29,380.93,2.29
2014-09-30,382.16,2.28
2014-10-01,380.98,2.27
2014-10-02,373.14,2.26
2014-10-06,372.62,2.24
2014-10-07,369.0,2.23
2014-10-08,364.99,2.23
2014-10-09,364.59,2.09
2014-10-10,356.99,2.06
2014-10-13,357.78,2.05
2014-10-14,357.93,2.04
2014-10-15,349.2,2.03
2014-10-16,348.0,2.03
2014-10-17,359.56,2.02
2014-10-20,356.5,2.02
2014-10-21,362.77,2.01
2014-10-22,365.0,2.0
2014-10-23,368.0,1.99
2014-10-24,367.52,1.98
2014-10-27,364.39,1.98
2014-10-28,370.0,1.98
2014-10-29,373.28,1.98
2014-10-30,367.5,1.97
2014-10-31,380.5,1.96
2014-11-03,379.58,1.95
2014-11-04,375.73,1.95
2014-11-05,380.0,1.94
2014-11-06,385.0,2.02
2014-11-07,379.0,2.03
2014-11-10,381.0,2.04
2014-11-12,375.91,2.04
2014-11-13,378.46,2.04
2014-11-14,378.0,2.04
2014-11-17,380.7,2.05
2014-11-18,385.35,2.06
2014-11-19,385.6,2.06
2014-11-20,385.0,2.06
2014-11-21,394.64,2.06
2014-11-24,397.92,2.06
2014-11-25,398.94,2.06
2014-11-26,400.98,2.06
2014-11-27,404.0,2.06
2014-11-28,402.53,2.06
2014-12-01,402.44,2.06
2014-12-02,400.1,2.06
2014-12-03,401.5,2.06
2014-12-04,399.0,2.06
2014-12-05,401.91,2.06
2014-12-08,405.0,2.06
2014-12-09,395.96,2.06
2014-12-10,395.94,2.06
2014-12-11,396.72,2.06
2014-12-12,392.97,2.06
2014-12-15,385.0,2.06
2014-12-16,381.0,2.06
2014-12-17,390.5,2.06
2014-12-18,402.7,2.06
2014-12-19,404.0,2.06
2014-12-22,409.74,2.06
2014-12-23,410.0,2.06
2014-12-29,410.0,2.06
2014-12-30,407.8,2.06
2015-01-02,407.75,2.06
2015-01-05,396.23,2.06
2015-01-07,398.99,2.06
2015-01-08,404.62,2.06
2015-01-09,400.01,2.05
2015-01-12,400.28,2.05
2015-01-13,412.5,2.04
2015-01-14,407.48,2.04
2015-01-15,417.0,2.04
2015-01-16,422.86,2.03
2015-01-19,429.43,2.02
2015-01-20,429.02,2.02
2015-01-21,427.0,2.02
2015-01-22,429.0,2.02
2015-01-23,433.27,2.02
2015-01-26,440.01,2.01
2015-01-27,436.0,2.01
2015-01-28,437.71,2.0
2015-01-29,436.83,2.0
2015-01-30,433.6,2.0
2015-02-02,433.0,1.99
2015-02-03,440.4,1.99
2015-02-04,436.09,1.98
2015-02-05,438.5,1.98
2015-02-06,437.31,1.97
2015-02-09,430.29,1.97
2015-02-10,435.0,1.96
2015-02-11,440.48,1.96
2015-02-12,442.0,1.95
2015-02-13,444.0,1.94
2015-02-16,442.34,1.93
2015-02-17,440.5,1.92
2015-02-18,444.91,1.92
2015-02-19,442.13,1.89
2015-02-20,445.0,1.86
2015-02-23,449.5,1.84
2015-02-24,450.88,1.83
2015-02-25,451.52,1.83
2015-02-26,454.57,1.82
2015-02-27,457.16,1.81
2015-03-02,459.5,1.81
2015-03-03,458.0,1.81
2015-03-04,456.84,1.81
2015-03-05,463.0,1.65
2015-03-06,463.8,1.65
2015-03-09,461.0,1.65
2015-03-10,465.1,1.65
2015-03-11,470.0,1.65
2015-03-12,472.6,1.65
2015-03-13,479.0,1.65
2015-03-16,487.1,1.65
2015-03-17,481.77,1.65
2015-03-18,478.0,1.65
2015-03-19,472.48,1.65
2015-03-20,483.5,1.65
2015-03-23,473.1,1.65
2015-03-24,475.94,1.65
2015-03-25,472.0,1.65
2015-03-26,463.0,1.65
2015-03-27,472.03,1.65
2015-03-30,475.78,1.65
2015-03-31,475.67,1.65
2015-04-01,473.24,1.65
2015-04-02,471.0,1.65
2015-04-07,476.9,1.65
2015-04-08,468.56,1.65
2015-04-09,474.25,1.65
2015-04-10,478.8,1.65
2015-04-13,480.0,1.65
2015-04-14,474.37,1.65
2015-04-15,479.41,1.65
2015-04-16,468.79,1.65
2015-04-17,456.0,1.65
2015-04-20,459.0,1.65
2015-04-21,464.37,1.65
2015-04-22,458.0,1.65
2015-04-23,454.3,1.65
2015-04-24,456.3,1.65
2015-04-27,464.74,1.65
2015-04-28,456.95,1.65
2015-04-29,445.88,1.65
2015-04-30,448.0,1.65
2015-05-04,454.13,1.65
2015-05-05,445.0,1.65
2015-05-06,440.1,1.65
2015-05-07,446.8,1.66
2015-05-08,457.7,1.66
2015-05-11,457.61,1.66
2015-05-12,453.0,1.67
2015-05-13,450.91,1.67
2015-05-14,455.35,1.67
2015-05-15,445.55,1.67
2015-05-18,452.1,1.67
2015-05-19,465.0,1.68
2015-05-20,468.0,1.68
2015-05-21,469.27,1.68
2015-05-22,468.29,1.68
2015-05-25,469.99,1.68
2015-05-26,465.01,1.68
2015-05-27,468.0,1.68
2015-05-28,466.5,1.68
2015-05-29,455.89,1.68
2015-06-01,455.0,1.68
2015-06-02,451.96,1.68
2015-06-03,457.9,1.68
2015-06-05,452.0,1.68
2015-06-08,446.72,1.68
2015-06-09,440.0,1.69
2015-06-10,447.11,1.7
2015-06-11,453.44,1.7
2015-06-12,443.08,1.71
2015-06-15,442.42,1.71
2015-06-16,438.6,1.71
2015-06-17,438.74,1.71
2015-06-18,437.4,1.71
2015-06-19,443.51,1.72
2015-06-22,460.71,1.72
2015-06-23,468.0,1.72
2015-06-24,461.08,1.72
2015-06-25,463.99,1.72
2015-06-26,463.83,1.72
2015-06-29,454.0,1.72
2015-06-30,443.99,1.72
2015-07-01,453.97,1.72
2015-07-02,449.75,1.72
2015-07-03,446.25,1.72
2015-07-06,441.1,1.72
2015-07-07,434.84,1.72
2015-07-08,440.06,1.72
2015-07-09,447.54,1.72
2015-07-10,454.9,1.72
2015-07-13,460.0,1.72
2015-07-14,459.0,1.72
2015-07-15,460.2,1.72
2015-07-16,466.67,1.72
2015-07-17,464.86,1.72
2015-07-20,469.53,1.72
2015-07-21,461.78,1.72
